,charge,site,Total Energy (eV),Max Force (meV/A),Isotropic freq. (MHz),Dipolar freq. (MHz),Total freq. (MHz),path
0,-1,0,-1405.72932685,3.468018886915122,5.624864184670121,47.03199691760319,52.65686110227331,./candidate_configs/charge_-1/site-0/OUTCAR
1,-1,1,-1408.27454151,4.266582473127643,14.29935352970358,-178.03054629531022,-163.73121078949816,./candidate_configs/charge_-1/site-1/OUTCAR
2,-1,2,-1408.1623816,4.7289656374306634,35.985576892287185,-238.95509289639017,-202.9695194117082,./candidate_configs/charge_-1/site-2/OUTCAR
3,-1,frenkel,-1408.29404833,3.084917502948823,-28.237270003364063,205.52215716572854,177.28488894199666,./candidate_configs/charge_-1/site-frenkel/OUTCAR
4,0,0,-1410.95349955,4.612118818937777,1976.6314900514874,67.22729242400942,2043.8587824754968,./candidate_configs/charge_0/site-0/OUTCAR
5,0,1,-1411.13820267,4.603156091205251,1568.6142334108781,111.3345149093969,1679.9376353881503,./candidate_configs/charge_0/site-1/OUTCAR
6,0,2,-1411.0348488,3.021030618845165,-1416.78808005679,-142.45137971297117,-1559.2394597697612,./candidate_configs/charge_0/site-2/OUTCAR
7,0,frenkel,-1409.78041587,4.581729476955181,-736.495771135743,264.9559518955657,-471.5398192401773,./candidate_configs/charge_0/site-frenkel/OUTCAR
8,1,0,-1415.63187406,4.291929868951728,5.0149391525974565,47.37084415764356,52.38578331024102,./candidate_configs/charge_1/site-0/OUTCAR
9,1,1,-1414.51545092,4.6473950768145365,35.44342130822258,-328.34298958661924,-292.8995699710073,./candidate_configs/charge_1/site-1/OUTCAR
10,1,2,-1415.12254606,4.493220893746489,4.337244672516721,-41.0682854928927,-36.73104082037598,./candidate_configs/charge_1/site-2/OUTCAR
11,1,frenkel,-1411.49041611,4.620554187540711,-740.7878361762542,266.0646480908069,-474.7259894371882,./candidate_configs/charge_1/site-frenkel/OUTCAR
